Timestamp,"
What type of OHAC membership do you have?","Overall, how would you rate your current experience as an OHAC member? 1=Poor 5=Excellent",What parts of the club currently work well for you?,What parts of the club could be improved and what could make it stronger?,What first attracted you to OHAC? Tick all that apply,What keeps you involved with OHAC now? Tick all that apply,Which OHAC activities do you currently take part in? Tick all that apply,Are you part of any informal running or training groups connected to OHAC?,"If yes, what sort of group is it?  E.g. Sunday long run, weekday easy run, track group, yoga, etc.",Are there activities or groups you think more members should know about?,What types of club activity would add the most value for you? Tick all that apply,"If more group runs were added, when would you be most likely to attend? Tick all that apply",Which locations would work best for you? Tick all that apply,What would make you more likely to attend a club run? Tick all that apply,What currently makes it harder for you to attend OHAC activities? Tick all that apply,How useful do you find these communication channels? [Website],How useful do you find these communication channels? [Facebook page],How useful do you find these communication channels? [Private Facebook group],How useful do you find these communication channels? [Club calendar],How useful do you find these communication channels? [Word of mouth],How useful do you find these communication channels? [Heja],How useful do you find these communication channels? [Other channel],What information should be easier to find? Tick any that apply,What would you like to see more of in OHAC communications?   Tick any that apply,"Suggestions for improving website, newsletter, Facebook, or calendar",What is your preferred channel or channels for communication from the club?,"What skills or experience would you be willing to share with the club (if any)   E.g. coaching, organising, communications, social media, events, photography, finance, first aid, fundraising, sponsorship, junior sport",Would you be happy for someone to contact you about your responses?,"If yes, please leave your name and contact details",Is there anything else you’d like to tell us?,Column 29
8/9/2026 09:28:17,Full competitive member,4,The fact that I’m able to be involved and have a sense of community,"We need more opportunities to run together, not just Saturday afternoon, and more presence on social media.","Friend/family already a member, Social connection","Access to events or facilities, Club history / loyalty, Supporting juniors or families, Training with others / Social connection / Friendships, Volunteering / giving back","I Coach / Support others, Interclub and Club Racing / Harriers, Saturday club runs, Volunteering / officiating","Not currently, but I’d like to be",,Another group runs that go on. They seem very selective,"Post-run coffee / drink / food, Sunday long run, Saturday morning option, Weeknight group run","Weekday early morning, Weekday evening, Saturday morning, Sunday morning","Clubrooms / Northern Suburbs, City / waterfront","Different pace groups, Easier-to-find information, A social option afterwards","Injury / fitness, Timing",Not useful,Not useful,Very useful,Very useful,Very useful,I don't use this,Very useful,"Upcoming runs, Upcoming races, Who to contact","Clear info for new members, Training opportunities, Upcoming events",,Website,Organising,No,,,
8/12/2026 10:25:13,Parent / supporter,3,Masters and younger Juniors,Senior Mens and Womans. Youth (aged 16-20). Athletics v Harriers,"Competitive running / racing, Friend/family already a member, Junior athletics","Coaching or advice, Supporting juniors or families, Volunteering / giving back","I Coach / Support others, Junior coaching, Volunteering / officiating",Yes,Coaching,"Yes - how much work us volunteers put in, and how expectations exceed volunteers","Race-specific training groups, Track session, Goal setting / Information and SME guests",Less about group runs (in a casual sense) more about sessions,"Clubrooms / Northern Suburbs, Facilities matter more. Eg a track / strength and conditioning area (equipment)","Coaching or structure, Different pace groups, More engagement not less.","Family commitments, Time poo. I already give up 10+ hours a week. More some weeks",I don't use this,Useful,Useful,Useful,Somewhat useful,Useful,I don't use this,"What club offers runners, Volunteer opportunities",Training opportunities,,"facebook, email / newslettter","I need to do less, not more (most parents take, and don't give).",No,,Lobby to get a track built in the northern suburbs. Club could develop strength and conditioning facilities.,
8/12/2026 10:43:59,Full competitive member,4,Tuesday training with Chris,shower facilities on a Saturday (dedicated ones for females),Friend/family already a member,"Club history / loyalty, Results and recognition, Training with others / Social connection / Friendships","Interclub and Club Racing / Harriers, Saturday club runs, Tuesday night sessions",No,,,"Beginner run, Track session, Women’s social run, Quiz night or social event","Weekday evening, Saturday afternoon","Clubrooms / Northern Suburbs, City / waterfront","Clear “no one left behind” approach, A more convenient location, Different pace groups","Location / Transport, Pace feels too fast",I don't use this,Very useful,Very useful,I don't use this,Somewhat useful,I don't use this,I don't use this,"Upcoming runs, Upcoming races, Training sessions, Social events, Results, How to join, Who to contact, What club offers runners","Photos, Race results, Training opportunities, Member stories",,facebook or email,first aid - I have a first aid certificate.,Yes,Anneke Binkhorst (binkhorst_a@xtra.co.nz),,
8/12/2026 11:09:19,Full competitive member,5,Love the newsletter and the events and training options put on.,I think to be more appealing to the general public /website / rebranding,"Competitive running / racing, Location / convenience","Access to events or facilities, Racing opportunities","Interclub and Club Racing / Harriers, Track and field, Tuesday night sessions",Yes,"Sunday long run, and 50 masters chats",,"Race-specific training groups, Sunday long run, Weeknight group run","Weekday early morning, Weekday evening, Sunday morning","Clubrooms / Northern Suburbs, Newtown / track area, Location matters less than people/session type","Different pace groups, Knowing the pace beforehand","Injury / fitness, Timing",Not useful,I don't use this,Very useful,I don't use this,Somewhat useful,I don't use this,I don't use this,"Upcoming runs, Upcoming races, Training sessions, How to join, What club offers runners","Clear info for new members, Social run info, Training opportunities, Upcoming events, Volunteer shout-outs",Website needs an overhaul - for content and more aligned to interest /appeal to the general public,"First would be email, then facebook, then Messenger (or WhatsApp)","Happy to be a sounding board for things, design how we'd pilot new initiatives.",Yes,Darcy@cilab.nz,"Good survey, thanks for asking. Don't think too many changes are needed, just a few purposeful changes done precisely. Thanks team.",
8/12/2026 13:05:16,Full competitive member,3,Tuesday training,Sunday long run,"Friend/family already a member, Location / convenience, Social connection","Access to events or facilities, Coaching or advice, Training with others / Social connection / Friendships","Interclub and Club Racing / Harriers, Saturday club runs, Tuesday night sessions, Volunteering / officiating",No,,,"Sunday long run, Saturday morning option, Weeknight group run","Saturday morning, Sunday morning","Clubrooms / Northern Suburbs, City / waterfront",Nothing — I already attend what I want,"Family commitments, Timing",Somewhat useful,Somewhat useful,Very useful,Useful,Useful,I don't use this,I don't use this,"Upcoming runs, Upcoming races, Training sessions, Coaching options, Junior athletics info, Who to contact","Clear info for new members, Training opportunities",,Closed faceook page,,No,,,
8/12/2026 14:33:53,Social member,4,Mix of social and semi competitive runs.,The junior and senior clubs are always a bit hard to keep track of.  No perfect answer so steady as she goes?,"Coaching or structured training, Location / convenience","Access to events or facilities, Club history / loyalty, Racing opportunities, Results and recognition, Training with others / Social connection / Friendships","Interclub and Club Racing / Harriers, Saturday club runs",No,,,"Post-run coffee / drink / food, Quiz night or social event",Weekday evening,"Clubrooms / Northern Suburbs, Location matters less than people/session type","Nothing — I already attend what I want, Some named routes that promote a bit of Strava rivalry","Family commitments, Injury / fitness",Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not useful,Not useful,Coaching options,A bout right for me,A long time ago I liked the result database - but not used it for ages cos I have got too sllow,Email,,Yes,simmers.tony@gmail.com,,
8/12/2026 14:33:53,Full competitive member,4,"Welcoming, fun, social community. Supportive, encouraging, competitive environment. Opportunity to attend Tuesday night sessions - Chris has created a positive environment where all abilities are welcome.",Communication with Waiora. Saturday pack run designated bag area. Winter Syllabus A3 print out displayed on wall (near trophy cabinet). Sharing of knowledge/experience sessions by fellow members.,"Friend/family already a member, Location / convenience, Social connection","Access to events or facilities, Club history / loyalty, Coaching or advice, Racing opportunities, Results and recognition, Supporting juniors or families, Training with others / Social connection / Friendships, Volunteering / giving back","Interclub and Club Racing / Harriers, Saturday club runs, Tuesday night sessions",No,,,"Post-run coffee / drink / food, Race-specific training groups, Sunday long run, Weeknight group run, Quiz night or social event","Weekday early morning, Weekday evening, Saturday afternoon, Sunday morning","Clubrooms / Northern Suburbs, City / waterfront, Hutt Valley, Porirua / Whitby / Aotea","Clear “no one left behind” approach, Coaching or structure, Different pace groups, A social option afterwards",Work commitments,I don't use this,Very useful,Very useful,Very useful,Very useful,I don't use this,I don't use this,"Who to contact, Volunteer opportunities","Coaching tips, Training opportunities",,Private FB Group,"Organising, events",Yes,melissa.crompton@yealands.co.nz,#ERROR!,
8/12/2026 16:12:02,Full competitive member,4,"Club trips with subsidies. Social connection. OHC will enter anyone in an event, regardless of their speed","Ensuring communications continue to use various modes, not just presuming everyone uses Facebook","Competitive running / racing, Location / convenience, Social connection","Access to events or facilities, Club history / loyalty, Racing opportunities, Training with others / Social connection / Friendships",Interclub and Club Racing / Harriers,Yes,Mark's Core Training,,"Post-run coffee / drink / food, Walking group, Quiz night or social event",.,Location matters less than people/session type,"Clear “no one left behind” approach, A social option afterwards",We live on the Kapiti Coast,Very useful,I don't use this,I don't use this,Somewhat useful,Useful,I don't use this,Very useful,"Upcoming runs, Upcoming races, If anything changes to a scheduled event",.,,Weekly emails and website,"Have done many of the above over the years, wish to give others the same opportunities",No,,,
8/12/2026 18:57:44,Life,5,Everything,Always looking for more members,"Club history or reputation, Coaching or structured training, Competitive running / racing, Friend/family already a member, Junior athletics, Location / convenience, Social connection, Track and field","Access to events or facilities, Club history / loyalty, Coaching or advice, Racing opportunities, Results and recognition, Supporting juniors or families, Training with others / Social connection / Friendships, Volunteering / giving back","I Coach / Support others, Interclub and Club Racing / Harriers, Saturday club runs, Track and field, Tuesday night sessions, Volunteering / officiating","Not currently, but I’d like to be",,,All of these are good ideas for regular activities,"Weekday evening, Saturday afternoon, Sunday morning, Sunday afternoon",Location matters less than people/session type,All of the above should be part of any activities,I don’t really have any excuse 😀,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Not useful,Not useful,"Upcoming runs, Upcoming races, Training sessions, Coaching options, Junior athletics info, Social events, Results, How to join, Who to contact, What club offers runners, Volunteer opportunities, These are available already","Clear info for new members, Coaching tips, Junior updates, Photos, Race results, Social run info, Training opportunities, Member stories, Upcoming events, Volunteer shout-outs, These are already available",The link to all of the above needs to be easy to find for all including potential new members,Anything open to everyone and easily available,I will contribute as much as I can in any of these areas,Yes,Chris Speakman,The committee are doing a great job. Keep up the good work👍,
8/12/2026 18:59:52,Full competitive member,3,Tuesday intervals (ish). M50 group.,Access to club uniform/merch. Group runs in Tawa. More tribalism. More capable runners at club runs.,"Competitive running / racing, Location / convenience, Social connection, Track and field","Coaching or advice, Racing opportunities, Training with others / Social connection / Friendships, Loyalty, Distance to other clubs.","Interclub and Club Racing / Harriers, Saturday club runs, Track and field, Tuesday night sessions, Committtee",Yes,"Sunday Long Runs (facebook group), Olympic M50s (facebook group)","Yes. See above. Better promotion of them would a) convey our community, and b) prevent us gatekeeping.","Sunday long run, Track session, Weeknight group run","Weekday early morning, Weekday evening","Clubrooms / Northern Suburbs, City / waterfront, Tawa!","A more convenient location, Different pace groups, More attendance by people who do easy at 5:20 and faster.","Family commitments, Timing",Somewhat useful,Somewhat useful,Very useful,Useful,Somewhat useful,Not useful,Not useful,"Social events, How to join, What club offers runners","Clear info for new members, Social run info, Member stories",I have written multiple pages on how the website can improve....,It's worth noting that the club calendar could be useful. The website could be useful. They just aren't as good as they should be.,"Admin, Tech/IT, and Photography",Yes,Paul Evans,Thanks for your time and effort on this.,
